科目名,年度,時間割コード,テーマ
東南アジア国家形成論,2016,2C170,環太平洋地域の中で要の位置にある、東南アジア島嶼部の歴史を、様々なタイプの国家形成の諸相に注目して学ぶ。目標は、（１）およそ国家というものに備わった普遍的性質と、ある時代・ある地域ゆえに出現した国家の個別的性質とを同時に理解すること；（２）国家形成史を通じ、東南アジアの歴史を、世界史の動向と関連づけながら概略理解すること、の二つである。そのためには、単に人文・社会的事象のみならず、自然・地理・生態環境にまで掘り下げた、東南アジアの地域特性をおさえておくことが大切である。また、現在まで続く国民国家の時代（20世紀中葉以降）のこの地域に特有な状況を理解するためには、それに先立つ植民地支配の時代（16?20世紀初頭）、さらに遡った伝統国家の時代に関する基本的知識も必要となる。これらのテーマについて、単なる知識の授受でなく、教員・学生が批判的考察をぶつけあう、全員参加型授業を目指したい。
専門基礎演習,2016,2C203,This course provides an opportunity for students to look at culture and diversity through immigration and migration. Students will look at migration flows from and to Japan. Additional field research in the Kansai region will be offered as an option for students to engage in outside of class. Students will also research migration in other countries and conduct a comparative analysis of immigration policies.
専門演習Ｂ(1),2016,2C227,この演習は、コンピュータ・ネットワーク等情報機器の操作・利用・設定・管理の基礎として、そのハード的構造およびソフト的構造の理解および実際の情報機器を用いた技術の修得を目標としている。
専門演習Ｂ(1),2016,2C240,＜テーマ＞「移動・多文化共生・文化のゆらぎ」グローカル化、移動（・移民・移住）や越境と定着、トランスナショナリティ、ディアスポラ、流動性、多文化（言語、宗教含む）共生への模索、ハイブリディティ（異種混交）、クレオール化の錯綜という側面に焦点を当てる。＜到達目標＞過去や「歴史」への視点も養いながら、移動に伴う諸現象の理解を深める。　具体的には、移民、混血、観光、開発、祝祭、ポピュラー文化（音楽、ダンスなど）など具体的な事例を通して考察する。　スキルとしては、文献読解、レジュメ作成、プレゼンテーション、質疑応答やコメント、議論、論文作成といった知的能力の訓練を高める。　知の探検を楽しみ、深い理解を求め、問題意識を高めて次のステップへ進み、最後には卒業研究へ結びつける。
専門演習Ｂ(1),2016,2C244,明治以降の日本の短編小説のいくつかを原典と英訳で読みます。本来、原典を正確に移し換えていることが、翻訳の存在する理由なのですが、日本文学の翻訳作品ついていえば、こんなに違ってしまっていいの？と思えるくらい、異なる読書体験、異なる文学世界が生まれることがあります。それはなぜでしょう？その理由、原因を個々の作品に沿って議論し、考えていきます。テキスト批判とテキストの多文化的理解の基礎を身につけることを目標とします。
専門演習Ｂ(3),2016,2C326,情報検索について概観するとともに、実際のメカニズムを理解できるように基本的な演習をします。
専門演習Ｂ(3),2016,2C327,この演習は、コンピュータ・ネットワーク等情報機器の操作・利用・設定・管理の基礎として、そのハード的構造およびソフト的構造の理解および実際の情報機器を用いた技術の修得を目標としている。
専門演習Ｂ(3),2016,2C340,＜テーマ＞「移動・多文化共生・文化のゆらぎ」グローカル化、移動（・移民・移住）や越境と定着、トランスナショナリティ、ディアスポラ、流動性、多文化（言語、宗教含む）共生への模索、ハイブリディティ（異種混交）、クレオール化の錯綜という側面に焦点を当てる。＜到達目標＞過去や「歴史」への視点も養いながら、移動に伴う諸現象の理解を深める。　具体的には、移民、混血、観光、開発、祝祭、ポピュラー文化（音楽、ダンスなど）など具体的な事例を通して考察する。　スキルとしては、文献読解、レジュメ作成、プレゼンテーション、質疑応答やコメント、議論、論文作成といった知的能力の訓練を高める。　知の探検を楽しみ、深い理解を求め、問題意識を高めて次のステップへ進み、最後には卒業研究へ結びつける。
専門演習Ｂ(3),2016,2C344,明治以降の日本の短編小説のいくつかを原典と英訳で読みます。本来、原典を正確に移し換えていることが、翻訳の存在する理由なのですが、日本文学の翻訳作品ついていえば、こんなに違ってしまっていいの？と思えるくらい、異なる読書体験、異なる文学世界が生まれることがあります。それはなぜでしょう？その理由、原因を個々の作品に沿って議論し、考えていきます。テキスト批判とテキストの多文化的理解の基礎を身につけることを目標とします。
国際文化特殊講義（ＪＩＣＡ）,2016,1C047,この講義では、「国際協力・開発援助」という現象を多角的に考えるための材料を提供することを目的とする。近代化のひとつの顕著な特徴である 国際 協力・開発援助は、外交問題・経済問題・人権問題・教育問題など多様な領域で非常に大きな役割を地球上の隅々に至るまで果たしている。 JICA関 西の全面的協力を得て、本年度はアフリカ大陸を対象として日本由来のさまざまなアクター（ODA、 NGO、コンサルタントなど）がかか わっている具体的事例を、実際に実務に当たった経験者、技術者などの視点を含めて紹介し、現象としての「国際協力・開発援助」についての認識 を深める手 がかりとしたい。
日本言語文化論,2016,1C164,天皇制は日本独特の伝統だとよく言われる。かつては「万世一系」「国体」といった特有のことばでその価値が称揚されたが、そのような評価も今日ではごく一部の保守的知識人の言論に見出すことができる程度である。ただ評価の良し悪しはともかく、天皇家が長い歴史を通じて今日まで続いてきたことは事実である。それでは天皇家が存続したのはなぜなのだろうか。果たしてそこには何かしらの必然的な理由があったのか、それとも単なる偶然にすぎないのか。いずれにしてもこの日本史上最大の難問といっても過言ではない問いに対し、直ちに答えを出すことは不可能に近い。 　この授業では、以上のような難問に対する答えの手がかりを得ることを目標に、「天皇観からみる日本思想」というテーマを設定し、日本人の様々な天皇観を歴史的に検討していきたい。
専門演習Ａ,2016,1C232,多文化共生論で扱う基本的テーマを掘り下げて理解を深めながら、多文化主義について考察する基礎を構築する。前半に国際関係論・EU研究の観点から坂井が、後半にヨーロッパとイスラームの関係を考える観点から中村が担当します。　多文化共生を考えるに際して不可欠な比較政治学・国際関係論の基本的視座を身につけることで、専門演習Bでのより専門性を高めた研究へとつなげていきます。
専門演習Ｂ(0),2016,1C253,本年度の演習では、上岡弘二ほか（編）『イスラーム世界の人びと』（東洋経済新報社、1984年、全５巻）を取り上げ、中東に生きる人びとについて学ぶ上での論点、着眼点、そしてこの地域での研究を独自に切り開いて来た先達の知見を学んでいく。
専門演習Ｂ(2),2016,1C353,本年度の演習では、上岡弘二ほか（編）『イスラーム世界の人びと』（東洋経済新報社、1984年、全５巻）を取り上げ、中東に生きる人びとについて学ぶ上での論点、着眼点、そしてこの地域での研究を独自に切り開いて来た先達の知見を学んでいく。
専門演習Ｂ(2),2016,1C358,この演習では、様々な社会問題を解決・改善するための政策を立案し、提言するトレーニングを行います。大学の授業では、社会問題に対する過去の研究や思想を学ぶことに多くの時間を割いていますが、「ではどうしたらよいのか？」という問いに正面から取り組む機会は限られています。結果的に大学時代に考えていた「理想」と、社会に出たからの「現実」がかけ離れたまま、社会人生活を送ることになりがちです。政治や社会を批判的にとらえるだけでは、自分が社会の一員となった場合の行動力や思考力は身に付きません。「どうせ理想通りにいかない世の中だから」と諦めて、本の中の理想に閉じこもるのではなく、現実の様々な制約の中でどこまで自分なりの理想を実現できるのかを考える力を身につけることこそ、政策型思考力だと言えます。この授業では、毎週、グループや個人で様々な社会問題に対する政策提言のプレゼンテーションを行うことで、政策を立案し、議論し、実現する、政策型思考力を鍛えてゆきたいと考えています。この演習は講座や学年を問わず、積極的に発言し、議論する学生を歓迎します。なお今期は７月上旬に同志社大学で開催される関西国際関係合同ゼミナールに参加しますので、合同ゼミに関わる活動にも積極的に参加してほしいと思います。その他、神戸大学法学部のいくつかのゼミとの研究会も予定しています。
情報科学演習Ⅲ,2016,2C004,コンピュータのプログラミングを学ぶことでコンピュータのソフトウェアがどのように動いているかを理解し、自分でもソフトウェアを作成してコンピュータを望み通りに動かすことができるということを実感する。入門用プログラミング言語Scratchでのプログラミングが一通りできるようになること、およびソフトウェアの動作やプログラミングの概念について説明できるようになることを目標とする。
英会話（上級）Ⅱ,2016,2C023,"The ultimate goal of this course is to improve students' abilities to communicate in English in real world situations and on topics of personal interest. Emphasis is placed on development of vocabulary knowledge and fluency skills through exploration of various reading, writing, speaking, and listening tasks. In each class, students will be required to actively use English and to express their own ideas and opinions on relevant topics. An important theme of the course is preparation for successful study and use of English after university has been completed."
専門諸言語（モンゴル語）,2016,2C037,この授業のテーマは、「現代モンゴル語入門」である。初心者が辞書を引きつつ何とか読める程度にまでモンゴル語を学ぶことが目標である。
国際文化特殊講義,2016,2C049,「大学で学ぶ」を考える?社会人になる前に 漠然とかもしれませんが、将来は企業に就職を考えている方も多いと思います。ここでは、「働く」とはどういうことなのかを少しでも理解してもらうために、実際の現場で行われていることを豊富に取り入れて講義を進めていきたいと思います。ゴールイメージとしては、「就職」というターゲットを自分なりに見据えることで、「大学」という場で何を学ぶ必要があるかを自らが気付き、そして考え、実行する大切さを理解し、知識が高まるよりもモチベーションが高まる状態であることを目指します。
専門演習Ｂ(1),2016,2C250,後期月曜４時限の演習では、主に３回生を対象として、個人研究報告と卒論研究の準備としてレポートの作成を指導します。本演習では、Ｇ８（アメリカ、イギリス、フランス、ドイツ、イタリア、カナダ、ロシア、日本）諸国を比較政治・社会学的に考察していくことをメインテーマとします。大きく分けて、１．Ｇ８諸国と国際政治経済、２．Ｇ８諸国における政治・経済・社会問題、３．比較外交政策、４．大衆消費文化（テレビ、映画、音楽など）に反映されている政治・経済・社会問題などをカバーします。講座や学年を問わず、意欲のある皆さんの積極的な受講を歓迎します。
専門演習Ｂ(1),2016,2C260,この授業では、アメリカ合衆国の文化全般を扱うが、特に文学、映画、絵画、音楽等の芸術、大衆文化を通してアメリカの特質を理解することを目的とする。資料の収集や分析方法を学ぶとともに、特に英語文献の読解力を高めることも目指す。卒業研究につながるテーマを見つけることも課題の一つである。
資料講読演習,2016,2C277,日本は中国から多くの情報を受け入れ、その情報を血肉化するために漢文という文献読解法を生み出した。日本の開国後も、明治半ば頃まで、東アジアにおける共通の文体は漢文であった。日本の伝統文化を理解するための、あるいは１９世紀後半までのテキストを読解するための漢文読解能力を高めることを目的とする。また漢文を読みながら、近代日本における朝鮮観の一端を理解することを目指す。
専門演習Ｂ(3),2016,2C350,後期月曜４時限の演習では、主に３回生を対象として、個人研究報告と卒論研究の準備としてレポートの作成を指導します。本演習では、Ｇ８（アメリカ、イギリス、フランス、ドイツ、イタリア、カナダ、ロシア、日本）諸国を比較政治・社会学的に考察していくことをメインテーマとします。大きく分けて、１．Ｇ８諸国と国際政治経済、２．Ｇ８諸国における政治・経済・社会問題、３．比較外交政策、４．大衆消費文化（テレビ、映画、音楽など）に反映されている政治・経済・社会問題などをカバーします。講座や学年を問わず、意欲のある皆さんの積極的な受講を歓迎します。
専門演習Ｂ(3),2016,2C360,この授業では、アメリカ合衆国の文化全般を扱うが、特に文学、映画、絵画、音楽等の芸術、大衆文化を通してアメリカの特質を理解することを目的とする。資料の収集や分析方法を学ぶとともに、特に英語文献の読解力を高めることも目指す。卒業研究につながるテーマを見つけることも課題の一つである。
国際文化学実習,2016,1C046,授業のテーマ：本授業では、日本語教育に関連する講義（オムニバス形式・留学生センター教員が担当）と留学生を対象とした日本語授業における実習を通して、異文化交流への理解を深めること、日本語・日本文化を客観的に見る視点を養うことを目的としている。授業の到達目標：1)異文化交流の実践を通して、異文化への理解を深める。2)日本語・日本文化を客観的に捉えられるようになる。
翻訳文化形成論,2016,1C154,テーマ：古典の受容と視覚文化到達目標：古典とは何か。視覚文化にあらわれる古典を手掛かりに、古典受容を考える。
現代越境文化論,2016,2C155,異なる言語と文化が正面からぶつかりあう翻訳作業の現場は、越境する文化とは何かを考えるのに最適なフィールドのひとつだろう。わずか数語の英語テキストを前に、それをどう日本語に移し変えたらよいのか、もがき苦しむとき、翻訳者には、どのような武器と戦略が用意されているのか。辞書やウェブ上のリソースのような道具のレベルから、文化の翻訳というやや高度な理念まで、具体例によりながら、わかりやすく解説・概観してゆく。翻訳の言語文化論的背景を理解し、翻訳の実践力を身につけることを目標とします。
情報科学演習Ⅱ,2016,1C003,情報科学演習１の延長として、情報処理技術の演習を行う。本演習では、WWWシステムの利用に関する実習を行う。まず、ホームページを記述する言語であるHTML言語の書き方、画像の取り込みなどを理解し、ホームページを用いて情報発信する方法を実習する。さらに、必要な情報を検索したり、取得した情報の正確さを判断できるための演習を行う。
博物館概論,2016,1C081,博物館学、博物館学芸員養成課程への導入として、博物館の使命や機能、学芸員の仕事などについて学ぶ。また、日本近代の美術館の歴史を学ぶことで、現代社会における美術館の位置付けについて考える。それらを通じて、博物館に関する基礎的な知識を習得するとともに、博物館のあり方について自分なりの考えを述べられるようになることを目標とする。
情報科学演習Ⅰ,2016,2C002,国際文化学部では、実際的な情報教育によって、自在にコンピュータが扱える学生を育成することを目指している。この授業では、コンピュータを実際に使い、基本的な情報技術を活用する手法を学ぶ。オンラインコミュニケーションや、ワードプロセッサ、表計算など、具体的な活用方法を演習でマスターしていく。さらに、プレゼンテーションを学び、自らの情報発信に備える。
英語文章表現（上級）,2016,1C019,"This is both a reading-based and corpus-based writing course. As a reading-based course, students will write essays in response to short readings that are intended to both instruct students on proper form and to encourage thoughtful writing. Students will also learn to use an online corpus to help them answer questions about vocabulary, grammar and usage as they write. A corpus is a large, searchable database of authentic texts (e.g. from newspapers, magazines, journals, books, lectures, conversations, etc.) that can be used as a reference to guide students in using English naturally and appropriately. Course Objectives: 1. To write thoughtful essays in response to short readings 2. To become critical writers who can analyze and respond to ideas in a reading 3. To use a corpus to improve written accuracy and appropriacy"
英会話（上級）Ⅰ,2016,1C023,"The ultimate goal of this course is to improve students' abilities to communicate in English in real world situations and on topics of personal interest. Emphasis is placed on development of vocabulary knowledge and fluency skills through exploration of various reading, writing, speaking, and listening tasks. In each class, students will be required to actively use English and to express their own ideas and opinions on relevant topics. An important theme of the course is preparation for successful study and use of English after university has been completed."
専門演習Ｂ(2),2016,1C337,【授業のテーマ】授業のテーマは異文化間コミュニケーションとしての翻訳です。【到達目標】日常的に接している翻訳テクストが、異文化間コミュニケーション行為の産物であり、テクスト成立にコミュニケーションの諸要因がどのような作用を及ぼしているのかについて、議論を深めることを目指します。その際、文献による理論的理解と、翻訳実践、さらに原文と翻訳の比較分析という３本柱で、文化の差異が言語テクストにどのように現れるかを学習していきます。
専門演習Ｂ(2),2016,1C359,既成政党の衰退、ポピュリズムの拡大、熟議民主主義アプローチの活用により、現在、先進諸国の民主主義は大きな転換期を迎えています。本演習では、統一後（1990年）のドイツ政治について、日本や他の先進諸国との比較を交えながら学んでいきます。
音声コミュニケーション論（グローバル専門科目）,2016,2C108,Theme:  Introduction to PhoneticsGoals: 1. Learn Introductory Phonetics2. Learn to use sound analyzer Praat.3. Research on a topic on speech communication and present the research in class.
ジェンダー社会論,2016,2C132,ジェンダー概念とそれをめぐる理論は、社会的な力関係が生み出す性差を批判的にとらえ、その応用として、多様な人びとが多様なまま幸福を追求できる社会をめざすものです。この基礎に立ち、このコースでは、具体的な経験や関係、生活実践に関する「常識」をくつがえし、日本のなかで拡大する格差と、国境を越えて拡大する格差がつながっていることなど、マクロな社会問題についても、ジェンダー分析的に考える訓練の機会を提供します。
専門演習Ｂ(1),2016,2C251,既成政党の衰退、ポピュリズムの拡大、熟議民主主義アプローチの活用により、現在、先進諸国の民主主義は大きな転換期を迎えています。本演習では、統一後（1990年）のドイツ政治について、日本や他の先進諸国との比較を交えながら学んでいきます。
専門演習Ｂ(1),2016,2C257,現代中国の政治と社会　　この授業は、現代中国のさまざまな課題や問題を社会科学の視点から検討することを目的とします。
専門演習Ｂ(3),2016,2C328,情報技術は人々の使いやすいようにデザインされることで初めて社会に浸透します。情報技術をデザインすることは、人と人とのコミュニケーションのあり方といった未来の社会環境をデザインすることでもあります。この演習では、情報分野の最先端の研究成果に数多く触れ、それぞれの研究者がどのような未来社会を志しているのかを読み解くことを通じて、現代社会の常識に縛られることなく目標とすべき未来社会について議論できるようになることを目指します。
専門演習Ｂ(3),2016,2C351,既成政党の衰退、ポピュリズムの拡大、熟議民主主義アプローチの活用により、現在、先進諸国の民主主義は大きな転換期を迎えています。本演習では、統一後（1990年）のドイツ政治について、日本や他の先進諸国との比較を交えながら学んでいきます。
専門演習Ｂ(3),2016,2C357,現代中国の政治と社会　　この授業は、現代中国のさまざまな課題や問題を社会科学の視点から検討することを目的とします。
専門諸言語（インドネシア語）,2016,1C036,インドネシア語の入門。基礎的な文法・語彙とよく使う日常会話を習得することが目標である。
国際コミュニケーション演習Ⅱ（グローバル専門科目）,2016,1C038,"The course is intended to provide students with further opportunities to engage with a variety of subject matterand to raise further awareness of communication skills in a global, international context."
言語表現論,2016,1C103,日本語と英語の表現の違いを、それぞれの発想や論理の観点から比較する。特に、英語の文章を読んだり日本語に翻訳したりする時に生じる問題点について考察する。そのことによって、英語らしい表現、日本語らしい表現についての理解を深めることを目標とする。
近代文化言説論,2016,1C126,芸術が政治や記憶の問題に関わろうとするとき、そこにはどのような意義や効果、可能性があるのだろうか。また、どんな問題が生じうるのだろうか。授業ではこうした問いを、映画やアートといった視覚表現の活動を取り上げながら考えます。前半は主に映画、後半はアートを取り上げて、芸術家たちが政治という領域にどのようなアプローチを試み、どのような問題を提起しているのかを考察します。
文化混交論,2016,1C144,中東における宗教、民族に関わる諸問題を具体的な事例として取りあげて、文化に関連する問題を多角的に検討する。グローバル化が進んでいると言われる今日的状況の中で、異文化という認識そのものを批判的に振り返りつつ、私たちの理解の枠組みを組み替えていくことを目指す。
文化様式成立論,2016,1C156,フェニックス（不死鳥）についての古代ギリシア・ローマ人のイメージをさまざな資料から探り、その「生態」に迫る。古代ヨーロッパの空想上の鳥ながら、日本でも案外親しまれている（比喩にもよく用いられる）ゆえんを知ることができよう。
専門演習Ｂ(0),2016,1C251,近年、“クールジャパン”という言葉を耳にする機会が増えたが、今から100年以上前にも、“ジャポニスム”と呼ばれる日本ブームがヨーロッパ各地で巻き起こっていた。ジャポニスムは様々な造形分野に及んだが、この授業では特に「ファッション」という観点から、ヨーロッパと相互に影響を与えあってきた日本の文化について学びます。
専門演習Ｂ(0),2016,1C260,映画の演出と演技を読み解く映画における監督の演出と俳優の演技について、映画学の先行研究（日本語・英語）を読みながら議論してゆく
外国語演習（英語）,2016,1C269,毎週、英字新聞を読む。というか、毎朝、スタンドで買って来た、その日の新聞を読む。なかでも、科学技術に関する記事に焦点をあてて、かなり本格的な時事英語を、身につけること・・・なんて、呑気なこと言っていないで、「使いこなして」、それを「道具」に、世界と、トップレベルで、渡りあうことを目的とする。
外国語演習（ドイツ語）,2016,1C273,ドイツ語の受動態やその関連構文の構造や機能についての知見を、ドイツ語で書かれた下記の代表的文法書を通じて深めます。
専門演習Ｂ(2),2016,1C341,現在のWWWの多くのページは、決まった内容を表示するのではなく、利用者からの要求などに応じてダイナミックに表示する内容を変えて表示しています。例えば、検索サイトは、利用者の入力するキーワードに対応した結果を表示するし、掲示板・チャット用のサイトは利用者の投稿を即座にWebページに反映させます。また、授業アンケートのように異なる回答者から送られてきたデータをまとめて処理し、結果を表示することもあります。本演習では、このようなWebアプリケーションの仕組みについて学習し、実際にそのようなページをプログラミングして作成することを目標にします。
専門演習Ｂ(2),2016,1C351,近年、“クールジャパン”という言葉を耳にする機会が増えたが、今から100年以上前にも、“ジャポニスム”と呼ばれる日本ブームがヨーロッパ各地で巻き起こっていた。ジャポニスムは様々な造形分野に及んだが、この授業では特に「ファッション」という観点から、ヨーロッパと相互に影響を与えあってきた日本の文化について学びます。
専門演習Ｂ(2),2016,1C360,映画の演出と演技を読み解く映画における監督の演出と俳優の演技について、映画学の先行研究（日本語・英語）を読みながら議論してゆく
英会話（上級）Ⅱ,2016,2C022,"Course Objectives- practice English to improve spoken fluency, accuracy and natural expression- expand English vocabulary- learn about foreign perspectives on social phenomenon"
Aspects of EU Culture and Society（Seminar）,2016,2C054,"Europe is not regarded as a homogenous entity in terms of culture and identity. True or false? The answer to this question is complex and not easy to give. Europe is characterized by its vast cultural diversity and European sentiments are shaped by different attitudes, customs and traditions. One might tend to say there is nothing like a common European identity. Investigating European commonalities, however, might result in findings which suggest that Europeans have formed a common identity to a certain extent in order to substantiate their will to unite. In this regard, we will explore and discuss the social and cultural patterns that characterize a common sense of belonging to Europe and we will examine the extent to which Europeans have succeeded to form an attachment to the European Union."
バイオエシックス,2016,2C129,テーマ：「生死をめぐる規範の形成と制度化」目標：科学技術による人間生命の操作や地球規模での環境問題の深刻化など，現代社会においては「生命」に関する倫理や規範が揺らぎ，再構築が求められている。一方において体外授精技術，ES細胞研究，遺伝子研究などの人の生まれに関わる諸問題，他方において脳死，安楽死などの人の死に関わる諸問題など解決を求められている。この講義は，これら具体的な諸問題を通して「生命」に関する規範形成とその制度化の問題を考察することを目標とすると共に，ESD(Education for Sustainable Development)科目として生命倫理におけるSustainabilityについての理解の促進を目標としている。
アメリカ多元文化表現論,2016,2C177,「アメリカ映画研究入門」本講義では、映画を通してアメリカ研究を行なうための基本的な視点と方法を身につけることを目標とする。映画研究はカルチュラル・スタディーズの大きな柱でもあるので、他地域にも適用できるような内容としたい。
専門演習Ｂ(1),2016,2C219,テーマ：ことばの音調を「聞く」そして「見る」目標：　ことばの音調、イントネーションについて学び、いろいろな言語の音調について、音声解析ソフトを使って考察することにより、いろいろな英語の音調の特色が分析できるようになる。
専門演習Ｂ(1),2016,2C225,授業のテーマ2年次後期から3年次後期にかけて開講される，一連の専門演習B(1)-(3)では，コミュニケーション，社会，経済における現実の現象を分析するための手法を学びます。2年次後期の専門演習B(1)では，特に，これらを分析する方法としてどのようなものがあるかを実例に基づいて学びます。到達目標本演習では，コミュニケーション，社会，経済における現象を分析する手法としてどのようなものがあるか，その手法の概要と目的，実例に関する知識の習得を目指します。
専門演習Ｂ(1),2016,2C230,「映像」をテーマとします。私たちの日常には映像イメージがあふれています。そうした映像には、私たちの注意を引きつけ、私たちに情報を与えるために、さまざまな「トリック」が仕掛けられています。いわば、私たちは無意識的に情報を「与えられてしまっている」のです。この授業では、そうした映像イメージがもつ「トリック＝修辞学」について、ロラン・バルトの『映像（イメージ）の修辞学』を参考にしながら考察します。
専門演習Ｂ(1),2016,2C234,「現代日本のジェンダーとセクシュアリティ」をテーマに、この社会にあるさまざまな性関係を、法制度、社会規範、表象などから多面的に検討します。新しい市民権としての「親密権」についても紹介しつつ、「性的自由」とは何か、「性的権利」あるいは「親密権」とは何か、そもそも「性」とは何かを考えるヒントをつかむことが目標です。
専門演習Ｂ(3),2016,2C319,テーマ：ことばの音調を「聞く」そして「見る」目標：　ことばの音調、イントネーションについて学び、いろいろな言語の音調について、音声解析ソフトを使って考察することにより、いろいろな英語の音調の特色が分析できるようになる。
専門演習Ｂ(3),2016,2C330,「映像」をテーマとします。私たちの日常には映像イメージがあふれています。そうした映像には、私たちの注意を引きつけ、私たちに情報を与えるために、さまざまな「トリック」が仕掛けられています。いわば、私たちは無意識的に情報を「与えられてしまっている」のです。この授業では、そうした映像イメージがもつ「トリック＝修辞学」について、ロラン・バルトの『映像（イメージ）の修辞学』を参考にしながら考察します。
専門演習Ｂ(3),2016,2C334,「現代日本のジェンダーとセクシュアリティ」をテーマに、この社会にあるさまざまな性関係を、法制度、社会規範、表象などから多面的に検討します。新しい市民権としての「親密権」についても紹介しつつ、「性的自由」とは何か、「性的権利」あるいは「親密権」とは何か、そもそも「性」とは何かを考えるヒントをつかむことが目標です。
